;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
EC:1.14.14.14;"O2 [CPD:C00007];"
EC:1.14.14.14;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.14;"19-hydroxytestosterone [CPD:C05294];"
EC:1.14.14.14;"19-oxotestosterone [CPD:C05295];"
EC:1.14.14.14;"androst-4-ene-3,17-dione [CPD:C00280];"
EC:1.14.14.14;"19-hydroxyandrost-4-ene-3,17-dione [CPD:C05290];"
EC:1.14.14.14;19-oxoandrost-4-ene-3,17-dione [CPD:C05297]
"17beta-estradiol;";EC:1.14.14.14
"formate [CPD:C00058];";EC:1.14.14.14
"H2O [CPD:C00001];";EC:1.14.14.14
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.14
"19-hydroxytestosterone [CPD:C05294];";EC:1.14.14.14
"19-oxotestosterone [CPD:C05295];";EC:1.14.14.14
"estrone [CPD:C00468];";EC:1.14.14.14
"19-hydroxyandrost-4-ene-3,17-dione [CPD:C05290];";EC:1.14.14.14
19-oxo-androst-4-ene-3,17-dione;EC:1.14.14.14
EC:1.1.1.64;"testosterone [CPD:C00535];"
EC:1.1.1.64;NADP+ [CPD:C00006]
"androstenedione [CPD:C00280];";EC:1.1.1.64
"NADPH [CPD:C00005];";EC:1.1.1.64
H+ [CPD:C00080];EC:1.1.1.64
EC:1.1.1.62 1.1.1.105 1.1.1.239;"17beta-estradiol;"
EC:1.1.1.62 1.1.1.105 1.1.1.239;"NAD+ [CPD:C00003];"
EC:1.1.1.62 1.1.1.105 1.1.1.239;NADP+ [CPD:C00006]
"estrone [CPD:C00468];";EC:1.1.1.62 1.1.1.105 1.1.1.239
"NADH [CPD:C00004];";EC:1.1.1.62 1.1.1.105 1.1.1.239
"NADPH [CPD:C00005];";EC:1.1.1.62 1.1.1.105 1.1.1.239
H+ [CPD:C00080];EC:1.1.1.62 1.1.1.105 1.1.1.239
EC:2.8.2.4;"3'-phosphoadenylyl sulfate [CPD:C00053];"
EC:2.8.2.4;estrone [CPD:C00468]
"adenosine 3',5'-bisphosphate [CPD:C00054];";EC:2.8.2.4
estrone 3-sulfate [CPD:C02538];EC:2.8.2.4
EC:1.14.14.1;"RH [CPD:C01371];"
EC:1.14.14.1;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.1;O2 [CPD:C00007]
"ROH [CPD:C01335];";EC:1.14.14.1
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.1
H2O [CPD:C00001];EC:1.14.14.1
EC:1.1.1.62;"17beta-estradiol;"
EC:1.1.1.62;"NAD+ [CPD:C00003];"
EC:1.1.1.62;NADP+ [CPD:C00006]
"estrone [CPD:C00468];";EC:1.1.1.62
"NADH [CPD:C00004];";EC:1.1.1.62
"NADPH [CPD:C00005];";EC:1.1.1.62
H+ [CPD:C00080];EC:1.1.1.62
EC:2.1.1.6;"S-adenosyl-L-methionine [CPD:C00019];"
EC:2.1.1.6;catechol [CPD:C15571]
"S-adenosyl-L-homocysteine [CPD:C00021];";EC:2.1.1.6
guaiacol [CPD:C15572];EC:2.1.1.6
EC:1.14.14.1;"RH [CPD:C01371];"
EC:1.14.14.1;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.1;O2 [CPD:C00007]
"ROH [CPD:C01335];";EC:1.14.14.1
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.1
H2O [CPD:C00001];EC:1.14.14.1
EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-;"albendazole [CPD:C01779];"
EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-;"NADPH [CPD:C00005];"
EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-;"H+ [CPD:C00080];"
EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-;O2 [CPD:C00007]
"albendazole S-oxide [CPD:C02809];";EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-
"NADP+ [CPD:C00006];";EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-
H2O [CPD:C00001];EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.13.-
EC:3.6.1.1;"diphosphate [CPD:C00013];"
EC:3.6.1.1;H2O [CPD:C00001]
phosphate [CPD:C00009];EC:3.6.1.1
EC:7.2.2.19;"ADP [CPD:C00008];"
EC:7.2.2.19;"phosphate [CPD:C00009];"
EC:7.2.2.19;"H+[side 2];"
EC:7.2.2.19;K+[side 1]
A P-type ATPase that undergoes covalent phosphorylation during the transport cycle. A gastric mucosal enzyme that catalyses the efflux of one H+ and the influx of one K+ per ATP hydrolysed.;EC:7.2.2.19
EC:3.5.1.2;"L-glutamine [CPD:C00064];"
EC:3.5.1.2;H2O [CPD:C00001]
"L-glutamate [CPD:C00025];";EC:3.5.1.2
NH3 [CPD:C00014];EC:3.5.1.2
EC:6.3.4.16;"ATP [CPD:C00002];"
EC:6.3.4.16;"NH3 [CPD:C00014];"
EC:6.3.4.16;"hydrogencarbonate [CPD:C00288];"
EC:6.3.4.16;"carboxyphosphate [CPD:C20969];"
EC:6.3.4.16;carbamate [CPD:C01563]
"ADP [CPD:C00008];";EC:6.3.4.16
"phosphate [CPD:C00009];";EC:6.3.4.16
"carbamoyl phosphate [CPD:C00169];";EC:6.3.4.16
"carboxyphosphate [CPD:C20969];";EC:6.3.4.16
carbamate [CPD:C01563];EC:6.3.4.16
EC:1.4.1.3;"L-glutamate [CPD:C00025];"
EC:1.4.1.3;"H2O [CPD:C00001];"
EC:1.4.1.3;"NAD+ [CPD:C00003];"
EC:1.4.1.3;NADP+ [CPD:C00006]
"2-oxoglutarate [CPD:C00026];";EC:1.4.1.3
"NH3 [CPD:C00014];";EC:1.4.1.3
"NADH [CPD:C00004];";EC:1.4.1.3
"NADPH [CPD:C00005];";EC:1.4.1.3
H+ [CPD:C00080];EC:1.4.1.3
EC:6.3.1.2;"ATP [CPD:C00002];"
EC:6.3.1.2;"L-glutamate [CPD:C00025];"
EC:6.3.1.2;NH3 [CPD:C00014]
"ADP [CPD:C00008];";EC:6.3.1.2
"phosphate [CPD:C00009];";EC:6.3.1.2
L-glutamine [CPD:C00064];EC:6.3.1.2
EC:2.6.1.1;"L-aspartate [CPD:C00049];"
EC:2.6.1.1;2-oxoglutarate [CPD:C00026]
"oxaloacetate [CPD:C00036];";EC:2.6.1.1
L-glutamate [CPD:C00025];EC:2.6.1.1
EC:2.3.1.1;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.1;L-glutamate [CPD:C00025]
"CoA [CPD:C00010];";EC:2.3.1.1
N-acetyl-L-glutamate [CPD:C00624];EC:2.3.1.1
EC:2.6.1.2;"L-alanine [CPD:C00041];"
EC:2.6.1.2;2-oxoglutarate [CPD:C00026]
"pyruvate [CPD:C00022];";EC:2.6.1.2
L-glutamate [CPD:C00025];EC:2.6.1.2
EC:3.5.1.14;"N-acyl-aliphatic-L-amino acid;"
EC:3.5.1.14;"H2O [CPD:C00001];"
EC:3.5.1.14;N-acetyl-L-cysteine-S-conjugate
"aliphatic L-amino acid;";EC:3.5.1.14
"carboxylate [CPD:C00060];";EC:3.5.1.14
"L-cysteine-S-conjugate [CPD:C02882];";EC:3.5.1.14
acetate [CPD:C00033];EC:3.5.1.14
EC:3.5.3.1;"L-arginine [CPD:C00062];"
EC:3.5.3.1;H2O [CPD:C00001]
"L-ornithine [CPD:C00077];";EC:3.5.3.1
urea [CPD:C00086];EC:3.5.3.1
EC:2.1.3.3;"carbamoyl phosphate [CPD:C00169];"
EC:2.1.3.3;L-ornithine [CPD:C00077]
"phosphate [CPD:C00009];";EC:2.1.3.3
L-citrulline [CPD:C00327];EC:2.1.3.3
EC:4.3.2.1;2-(Nomega-L-arginino)succinate [CPD:C03406]
"fumarate [CPD:C00122];";EC:4.3.2.1
L-arginine [CPD:C00062];EC:4.3.2.1
EC:1.14.13.39;"L-arginine [CPD:C00062];"
EC:1.14.13.39;"NADPH [CPD:C00005];"
EC:1.14.13.39;"H+ [CPD:C00080];"
EC:1.14.13.39;"O2 [CPD:C00007];"
EC:1.14.13.39;Nomega-hydroxy-L-arginine
"L-citrulline [CPD:C00327];";EC:1.14.13.39
"nitric oxide [CPD:C00533];";EC:1.14.13.39
"NADP+ [CPD:C00006];";EC:1.14.13.39
"H2O [CPD:C00001];";EC:1.14.13.39
Nomega-hydroxy-L-arginine;EC:1.14.13.39
EC:6.3.4.5;"ATP [CPD:C00002];"
EC:6.3.4.5;"L-citrulline [CPD:C00327];"
EC:6.3.4.5;L-aspartate [CPD:C00049]
"AMP [CPD:C00020];";EC:6.3.4.5
"diphosphate [CPD:C00013];";EC:6.3.4.5
2-(Nomega-L-arginino)succinate [CPD:C03406];EC:6.3.4.5
EC:3.6.1.13 3.6.1.58 2.7.7.96;"ADP-D-ribose [CPD:C00301];"
EC:3.6.1.13 3.6.1.58 2.7.7.96;H2O [CPD:C00001]
"AMP [CPD:C00020];";EC:3.6.1.13 3.6.1.58 2.7.7.96
D-ribose 5-phosphate [CPD:C00117];EC:3.6.1.13 3.6.1.58 2.7.7.96
EC:2.4.2.14;"5-phospho-beta-D-ribosylamine [CPD:C03090];"
EC:2.4.2.14;"diphosphate [CPD:C00013];"
EC:2.4.2.14;L-glutamate [CPD:C00025]
"L-glutamine [CPD:C00064];";EC:2.4.2.14
"5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];";EC:2.4.2.14
H2O [CPD:C00001];EC:2.4.2.14
EC:6.3.4.13 2.1.2.2 6.3.3.1;"ATP [CPD:C00002];"
EC:6.3.4.13 2.1.2.2 6.3.3.1;"5-phospho-D-ribosylamine [CPD:C03090];"
EC:6.3.4.13 2.1.2.2 6.3.3.1;glycine [CPD:C00037]
"ADP [CPD:C00008];";EC:6.3.4.13 2.1.2.2 6.3.3.1
"phosphate [CPD:C00009];";EC:6.3.4.13 2.1.2.2 6.3.3.1
N1-(5-phospho-D-ribosyl)glycinamide [CPD:C03838];EC:6.3.4.13 2.1.2.2 6.3.3.1
EC:6.3.5.3;"ATP [CPD:C00002];"
EC:6.3.5.3;"N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide [CPD:C04376];"
EC:6.3.5.3;"L-glutamine [CPD:C00064];"
EC:6.3.5.3;H2O [CPD:C00001]
"ADP [CPD:C00008];";EC:6.3.5.3
"phosphate [CPD:C00009];";EC:6.3.5.3
"2-(formamido)-N1-(5-phospho-D-ribosyl)acetamidine [CPD:C04640];";EC:6.3.5.3
L-glutamate [CPD:C00025];EC:6.3.5.3
EC:4.1.1.21 6.3.2.6;5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate [CPD:C04751]
"5-amino-1-(5-phospho-D-ribosyl)imidazole [CPD:C03373];";EC:4.1.1.21 6.3.2.6
CO2 [CPD:C00011];EC:4.1.1.21 6.3.2.6
EC:4.3.2.2;"N6-(1,2-dicarboxyethyl)AMP [CPD:C03794];"
EC:4.3.2.2;(S)-2-[5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate [CPD:C04823]
"fumarate [CPD:C00122];";EC:4.3.2.2
"AMP [CPD:C00020];";EC:4.3.2.2
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [CPD:C04677];EC:4.3.2.2
EC:2.4.2.7;"AMP [CPD:C00020];"
EC:2.4.2.7;diphosphate [CPD:C00013]
"adenine [CPD:C00147];";EC:2.4.2.7
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.4.2.7
EC:2.1.2.3 3.5.4.10;"10-formyltetrahydrofolate [CPD:C00234];"
EC:2.1.2.3 3.5.4.10;5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [CPD:C04677]
"tetrahydrofolate [CPD:C00101];";EC:2.1.2.3 3.5.4.10
5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [CPD:C04734];EC:2.1.2.3 3.5.4.10
EC:2.7.7.4 2.7.1.25;"ATP [CPD:C00002];"
EC:2.7.7.4 2.7.1.25;sulfate [CPD:C00059]
"diphosphate [CPD:C00013];";EC:2.7.7.4 2.7.1.25
adenylyl sulfate [CPD:C00224];EC:2.7.7.4 2.7.1.25
EC:2.7.4.6;"ATP [CPD:C00002];"
EC:2.7.4.6;nucleoside diphosphate [CPD:C00454]
"ADP [CPD:C00008];";EC:2.7.4.6
nucleoside triphosphate [CPD:C00201];EC:2.7.4.6
EC:3.5.4.6;"AMP [CPD:C00020];"
EC:3.5.4.6;H2O [CPD:C00001]
"IMP [CPD:C00130];";EC:3.5.4.6
NH3 [CPD:C00014];EC:3.5.4.6
EC:6.3.4.4;"GTP [CPD:C00044];"
EC:6.3.4.4;"IMP [CPD:C00130];"
EC:6.3.4.4;L-aspartate [CPD:C00049]
"GDP [CPD:C00035];";EC:6.3.4.4
"phosphate [CPD:C00009];";EC:6.3.4.4
N6-(1,2-dicarboxyethyl)-AMP [CPD:C03794];EC:6.3.4.4
EC:3.6.1.6;"nucleoside diphosphate [CPD:C00454];"
EC:3.6.1.6;H2O [CPD:C00001]
"nucleoside phosphate [CPD:C01329];";EC:3.6.1.6
phosphate [CPD:C00009];EC:3.6.1.6
EC:3.6.1.5;"nucleoside 5'-triphosphate [CPD:C00201];"
EC:3.6.1.5;"H2O [CPD:C00001];"
EC:3.6.1.5;nucleoside 5'-diphosphate [CPD:C00454]
"nucleoside 5'-phosphate [CPD:C01117];";EC:3.6.1.5
"phosphate [CPD:C00009];";EC:3.6.1.5
nucleoside 5'-diphosphate [CPD:C00454];EC:3.6.1.5
EC:1.1.1.205;"IMP [CPD:C00130];"
EC:1.1.1.205;"NAD+ [CPD:C00003];"
EC:1.1.1.205;H2O [CPD:C00001]
"XMP [CPD:C00655];";EC:1.1.1.205
"NADH [CPD:C00004];";EC:1.1.1.205
H+ [CPD:C00080];EC:1.1.1.205
EC:2.4.2.8;"IMP [CPD:C00130];"
EC:2.4.2.8;diphosphate [CPD:C00013]
"hypoxanthine [CPD:C00262];";EC:2.4.2.8
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.4.2.8
EC:3.1.3.5;"5'-ribonucleotide [CPD:C02520];"
EC:3.1.3.5;H2O [CPD:C00001]
"ribonucleoside [CPD:C00911];";EC:3.1.3.5
phosphate [CPD:C00009];EC:3.1.3.5
ECR1 EC:3.5.4.4;"adenosine [CPD:C00212];"
ECR1 EC:3.5.4.4;H2O [CPD:C00001]
"inosine [CPD:C00294];";ECR1 EC:3.5.4.4
NH3 [CPD:C00014];ECR1 EC:3.5.4.4
EC:2.4.2.1;"purine ribonucleoside [CPD:C15586];"
EC:2.4.2.1;"phosphate [CPD:C00009];"
EC:2.4.2.1;purine 2'-deoxyribonucleoside [CPD:C20463]
"purine [CPD:C15587];";EC:2.4.2.1
"alpha-D-ribose 1-phosphate [CPD:C00620];";EC:2.4.2.1
2-deoxy-alpha-D-ribose 1-phosphate [CPD:C00672];EC:2.4.2.1
EC:1.17.1.4 1.17.3.2;"xanthine [CPD:C00385];"
EC:1.17.1.4 1.17.3.2;"NAD+ [CPD:C00003];"
EC:1.17.1.4 1.17.3.2;H2O [CPD:C00001]
"urate [CPD:C00366];";EC:1.17.1.4 1.17.3.2
"NADH [CPD:C00004];";EC:1.17.1.4 1.17.3.2
H+ [CPD:C00080];EC:1.17.1.4 1.17.3.2
EC:2.7.4.3;"ATP [CPD:C00002];"
EC:2.7.4.3;AMP [CPD:C00020]
ADP [CPD:C00008];EC:2.7.4.3
EC:2.7.1.20;"ATP [CPD:C00002];"
EC:2.7.1.20;adenosine [CPD:C00212]
"ADP [CPD:C00008];";EC:2.7.1.20
AMP [CPD:C00020];EC:2.7.1.20
EC:2.7.1.74;"NTP [CPD:C00201];"
EC:2.7.1.74;deoxycytidine [CPD:C00881]
"NDP [CPD:C00454];";EC:2.7.1.74
dCMP [CPD:C00239];EC:2.7.1.74
EC:1.17.4.1;"2'-deoxyribonucleoside 5'-diphosphate [CPD:C04232];"
EC:1.17.4.1;"thioredoxin disulfide [CPD:C00343];"
EC:1.17.4.1;H2O [CPD:C00001]
"ribonucleoside 5'-diphosphate [CPD:C03723];";EC:1.17.4.1
thioredoxin [CPD:C00342];EC:1.17.4.1
EC:3.6.1.3;"ATP [CPD:C00002];"
EC:3.6.1.3;H2O [CPD:C00001]
"ADP [CPD:C00008];";EC:3.6.1.3
phosphate [CPD:C00009];EC:3.6.1.3
EC:3.6.1.15;"nucleoside triphosphate [CPD:C00201];"
EC:3.6.1.15;H2O [CPD:C00001]
"nucleoside diphosphate [CPD:C00454];";EC:3.6.1.15
phosphate [CPD:C00009];EC:3.6.1.15
EC:3.5.4.4;"adenosine [CPD:C00212];"
EC:3.5.4.4;H2O [CPD:C00001]
"inosine [CPD:C00294];";EC:3.5.4.4
NH3 [CPD:C00014];EC:3.5.4.4
EC:4.6.1.1;ATP [CPD:C00002]
"3',5'-cyclic AMP [CPD:C00575];";EC:4.6.1.1
diphosphate [CPD:C00013];EC:4.6.1.1
EC:3.1.4.17;"nucleoside 3',5'-cyclic phosphate [CPD:C04212];"
EC:3.1.4.17;H2O [CPD:C00001]
nucleoside 5'-phosphate [CPD:C01117];EC:3.1.4.17
EC:1.7.1.7;"IMP [CPD:C00130];"
EC:1.7.1.7;"NH3 [CPD:C00014];"
EC:1.7.1.7;NADP+ [CPD:C00006]
"GMP [CPD:C00144];";EC:1.7.1.7
"NADPH [CPD:C00005];";EC:1.7.1.7
H+ [CPD:C00080];EC:1.7.1.7
EC:6.3.5.2;"ATP [CPD:C00002];"
EC:6.3.5.2;"XMP [CPD:C00655];"
EC:6.3.5.2;"L-glutamine [CPD:C00064];"
EC:6.3.5.2;"H2O [CPD:C00001];"
EC:6.3.5.2;NH3 [CPD:C00014]
"AMP [CPD:C00020];";EC:6.3.5.2
"diphosphate [CPD:C00013];";EC:6.3.5.2
"GMP [CPD:C00144];";EC:6.3.5.2
"L-glutamate [CPD:C00025];";EC:6.3.5.2
NH3 [CPD:C00014];EC:6.3.5.2
EC:3.5.4.3;"guanine [CPD:C00242];"
EC:3.5.4.3;H2O [CPD:C00001]
"xanthine [CPD:C00385];";EC:3.5.4.3
NH3 [CPD:C00014];EC:3.5.4.3
EC:3.6.1.17;"P1,P4-bis(5'-guanosyl) tetraphosphate [CPD:C01261];"
EC:3.6.1.17;H2O [CPD:C00001]
"GTP [CPD:C00044];";EC:3.6.1.17
GMP [CPD:C00144];EC:3.6.1.17
EC:2.7.4.8;"ATP [CPD:C00002];"
EC:2.7.4.8;GMP [CPD:C00144]
"ADP [CPD:C00008];";EC:2.7.4.8
GDP [CPD:C00035];EC:2.7.4.8
EC:2.7.1.113;"ATP [CPD:C00002];"
EC:2.7.1.113;deoxyguanosine [CPD:C00330]
"ADP [CPD:C00008];";EC:2.7.1.113
dGMP [CPD:C00362];EC:2.7.1.113
EC:3.6.1.11;"(polyphosphate)n [CPD:C00404];"
EC:3.6.1.11;H2O [CPD:C00001]
"(polyphosphate)n-1 [CPD:C00404];";EC:3.6.1.11
phosphate [CPD:C00009];EC:3.6.1.11
EC:3.1.7.2;"guanosine 3',5'-bis(diphosphate) [CPD:C01228];"
EC:3.1.7.2;H2O [CPD:C00001]
"GDP [CPD:C00035];";EC:3.1.7.2
diphosphate [CPD:C00013];EC:3.1.7.2
EC:4.6.1.2;GTP [CPD:C00044]
"3',5'-cyclic GMP [CPD:C00942];";EC:4.6.1.2
diphosphate [CPD:C00013];EC:4.6.1.2
EC:3.5.2.17;"5-hydroxyisourate [CPD:C11821];"
EC:3.5.2.17;H2O [CPD:C00001]
5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate [CPD:C12248];EC:3.5.2.17
EC:4.1.1.97;5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate [CPD:C12248]
"(S)-allantoin [CPD:C02350];";EC:4.1.1.97
CO2 [CPD:C00011];EC:4.1.1.97
EC:3.1.4.53;"adenosine 3',5'-cyclic phosphate [CPD:C00575];"
EC:3.1.4.53;H2O [CPD:C00001]
AMP [CPD:C00020];EC:3.1.4.53
EC:3.6.1.62 3.6.1.64;"5'-(N7-methylguanosine 5'-triphospho)-[mRNA] [CPD:C02339];"
EC:3.6.1.62 3.6.1.64;H2O [CPD:C00001]
"N7-methylguanosine 5'-diphosphate [CPD:C20183];";EC:3.6.1.62 3.6.1.64
5'-phospho-[mRNA] [CPD:C20863];EC:3.6.1.62 3.6.1.64
EC:2.7.4.10;"nucleoside triphosphate [CPD:C00201];"
EC:2.7.4.10;AMP [CPD:C00020]
"nucleoside diphosphate [CPD:C00454];";EC:2.7.4.10
ADP [CPD:C00008];EC:2.7.4.10
EC:3.1.4.1 3.6.1.9;EC 3.1.4.1 created 1961
EC:2.3.1.5;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.5;arylamine [CPD:C00292]
"CoA [CPD:C00010];";EC:2.3.1.5
N-acetylarylamine [CPD:C07565];EC:2.3.1.5
EC:1.14.14.1;"RH [CPD:C01371];"
EC:1.14.14.1;"[reduced NADPH---hemoprotein reductase] [CPD:C03024];"
EC:1.14.14.1;O2 [CPD:C00007]
"ROH [CPD:C01335];";EC:1.14.14.1
"[oxidized NADPH---hemoprotein reductase] [CPD:C03161];";EC:1.14.14.1
H2O [CPD:C00001];EC:1.14.14.1
EC:6.3.5.5 2.1.3.2 3.5.2.3;"ATP [CPD:C00002];"
EC:6.3.5.5 2.1.3.2 3.5.2.3;"L-glutamine [CPD:C00064];"
EC:6.3.5.5 2.1.3.2 3.5.2.3;"hydrogencarbonate [CPD:C00288];"
EC:6.3.5.5 2.1.3.2 3.5.2.3;"H2O [CPD:C00001];"
EC:6.3.5.5 2.1.3.2 3.5.2.3;"NH3 [CPD:C00014];"
EC:6.3.5.5 2.1.3.2 3.5.2.3;"carboxyphosphate [CPD:C20969];"
EC:6.3.5.5 2.1.3.2 3.5.2.3;carbamate [CPD:C01563]
"ADP [CPD:C00008];";EC:6.3.5.5 2.1.3.2 3.5.2.3
"phosphate [CPD:C00009];";EC:6.3.5.5 2.1.3.2 3.5.2.3
"L-glutamate [CPD:C00025];";EC:6.3.5.5 2.1.3.2 3.5.2.3
"carbamoyl phosphate [CPD:C00169];";EC:6.3.5.5 2.1.3.2 3.5.2.3
"NH3 [CPD:C00014];";EC:6.3.5.5 2.1.3.2 3.5.2.3
"carboxyphosphate [CPD:C20969];";EC:6.3.5.5 2.1.3.2 3.5.2.3
carbamate [CPD:C01563];EC:6.3.5.5 2.1.3.2 3.5.2.3
EC:1.3.5.2;"(S)-dihydroorotate [CPD:C00337];"
EC:1.3.5.2;quinone [CPD:C15602]
"orotate [CPD:C00295];";EC:1.3.5.2
quinol [CPD:C15603];EC:1.3.5.2
EC:2.4.2.10 4.1.1.23;"orotidine 5'-phosphate [CPD:C01103];"
EC:2.4.2.10 4.1.1.23;diphosphate [CPD:C00013]
"orotate [CPD:C00295];";EC:2.4.2.10 4.1.1.23
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.4.2.10 4.1.1.23
EC:2.7.1.48;"ATP [CPD:C00002];"
EC:2.7.1.48;uridine [CPD:C00299]
"ADP [CPD:C00008];";EC:2.7.1.48
UMP [CPD:C00105];EC:2.7.1.48
EC:2.4.2.9;"UMP [CPD:C00105];"
EC:2.4.2.9;diphosphate [CPD:C00013]
"uracil [CPD:C00106];";EC:2.4.2.9
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.4.2.9
EC:2.7.4.14;"ATP [CPD:C00002];"
EC:2.7.4.14;"dCMP [CPD:C00239];"
EC:2.7.4.14;UMP [CPD:C00105]
"ADP [CPD:C00008];";EC:2.7.4.14
"dCDP [CPD:C00705];";EC:2.7.4.14
UDP [CPD:C00015];EC:2.7.4.14
EC:6.3.4.2;"ATP [CPD:C00002];"
EC:6.3.4.2;"UTP [CPD:C00075];"
EC:6.3.4.2;"L-glutamine [CPD:C00064];"
EC:6.3.4.2;"H2O [CPD:C00001];"
EC:6.3.4.2;NH3 [CPD:C00014]
"ADP [CPD:C00008];";EC:6.3.4.2
"phosphate [CPD:C00009];";EC:6.3.4.2
"CTP [CPD:C00063];";EC:6.3.4.2
"L-glutamate [CPD:C00025];";EC:6.3.4.2
NH3 [CPD:C00014];EC:6.3.4.2
EC:3.5.4.5;"cytidine [CPD:C00475];"
EC:3.5.4.5;"H2O [CPD:C00001];"
EC:3.5.4.5;2'-deoxycytidine [CPD:C00881]
"uridine [CPD:C00299];";EC:3.5.4.5
"NH3 [CPD:C00014];";EC:3.5.4.5
2'-deoxyuridine [CPD:C00526];EC:3.5.4.5
EC:2.4.2.3;"uridine [CPD:C00299];"
EC:2.4.2.3;phosphate [CPD:C00009]
"uracil [CPD:C00106];";EC:2.4.2.3
alpha-D-ribose 1-phosphate [CPD:C00620];EC:2.4.2.3
EC:2.4.2.4;"thymidine [CPD:C00214];"
EC:2.4.2.4;phosphate [CPD:C00009]
"thymine [CPD:C00178];";EC:2.4.2.4
2-deoxy-alpha-D-ribose 1-phosphate [CPD:C00672];EC:2.4.2.4
EC:1.3.1.2;"5,6-dihydrouracil [CPD:C00429];"
EC:1.3.1.2;NADP+ [CPD:C00006]
"uracil [CPD:C00106];";EC:1.3.1.2
"NADPH [CPD:C00005];";EC:1.3.1.2
H+ [CPD:C00080];EC:1.3.1.2
EC:3.5.2.2;"5,6-dihydrouracil [CPD:C00429];"
EC:3.5.2.2;H2O [CPD:C00001]
3-ureidopropanoate [CPD:C02642];EC:3.5.2.2
EC:3.5.1.6;"3-ureidopropanoate [CPD:C02642];"
EC:3.5.1.6;H2O [CPD:C00001]
"beta-alanine [CPD:C00099];";EC:3.5.1.6
"CO2 [CPD:C00011];";EC:3.5.1.6
NH3 [CPD:C00014];EC:3.5.1.6
EC:3.6.1.12;"dCTP [CPD:C00458];"
EC:3.6.1.12;H2O [CPD:C00001]
"dCMP [CPD:C00239];";EC:3.6.1.12
diphosphate [CPD:C00013];EC:3.6.1.12
EC:3.5.4.12;"dCMP [CPD:C00239];"
EC:3.5.4.12;H2O [CPD:C00001]
"dUMP [CPD:C00365];";EC:3.5.4.12
NH3 [CPD:C00014];EC:3.5.4.12
EC:2.7.1.21;"ATP [CPD:C00002];"
EC:2.7.1.21;thymidine [CPD:C00214]
"ADP [CPD:C00008];";EC:2.7.1.21
dTMP [CPD:C00364];EC:2.7.1.21
EC:2.1.1.45;"5,10-methylenetetrahydrofolate [CPD:C00143];"
EC:2.1.1.45;dUMP [CPD:C00365]
"dihydrofolate [CPD:C00415];";EC:2.1.1.45
dTMP [CPD:C00364];EC:2.1.1.45
EC:2.7.4.9;"ATP [CPD:C00002];"
EC:2.7.4.9;dTMP [CPD:C00364]
"ADP [CPD:C00008];";EC:2.7.4.9
dTDP [CPD:C00363];EC:2.7.4.9
EC:3.6.1.23;"dUTP [CPD:C00460];"
EC:3.6.1.23;H2O [CPD:C00001]
"dUMP [CPD:C00365];";EC:3.6.1.23
diphosphate [CPD:C00013];EC:3.6.1.23
EC:3.5.1.3;"monoamide of dicarboxylate [CPD:C04131];"
EC:3.5.1.3;H2O [CPD:C00001]
"dicarboxylate [CPD:C02028];";EC:3.5.1.3
NH3 [CPD:C00014];EC:3.5.1.3
EC:2.6.1.16;"L-glutamine [CPD:C00064];"
EC:2.6.1.16;D-fructose 6-phosphate [CPD:C00085]
